trip_distance_km,vehicle_age_years,load_weight_tons,route_type,fuel_cost
422.0,8,10.2,3,4238.08
897.2,13,13.8,2,4351.97
628.4,10,8.9,2,3068.92
838.5,9,14.1,3,5016.19
857.8,4,10.6,3,5833.51
726.9,12,15.3,1,2781.28
411.4,14,10.4,2,2747.17
681.8,4,6.6,3,4495.91
650.6,11,8.5,3,3928.63
422.0,11,7.7,1,2193.18

302.9,9,10.1,3,2855.08
740.5,2,14.0,3,4669.47
982.4,5,19.9,3,3732.65
734.1,2,14.9,2,3008.02
727.1,7,11.4,2,3286.78
955.7,13,7.5,1,3614.73
460.5,12,7.6,1,1650.62
386.9,15,14.8,3,3775.57
929.8,12,18.7,3,5148.93
381.6,9,18.1,3,3216.82
